CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
21/06/1971,1971,6,25,1971,462081.0272,350102.9742,0,352673.1639,0,0
28/06/1971,1971,6,26,1971,462081.0268,261236.9815,0,11772.20164,0,261236.9815
05/07/1971,1971,7,27,1971,462081.0277,211690.0322,0,18305.27074,0,211690.0322
12/07/1971,1971,7,28,1971,462081.0277,164197.2165,0,159241.4849,7069.991758,1829.930705
19/07/1971,1971,7,29,1971,462081.0267,107222.5218,2806.418631,105518.9494,0,0
26/07/1971,1971,7,30,1971,462081.0282,76883.8547,0,76883.8547,0,0
02/08/1971,1971,8,31,1971,462081.0263,42792.97791,616.2512581,42361.60203,0,0
09/08/1971,1971,8,32,1971,462081.0265,30001.6477,0,30001.6477,0,0
16/08/1971,1971,8,33,1971,462081.0269,16054.57662,213.0475623,15905.44333,0,0
23/08/1971,1971,8,34,1971,462081.0271,7076.250576,358.438522,7315.427615,0,0
30/08/1971,1971,8,35,1971,462081.0271,6442.014173,0,6442.014173,0,0
06/09/1971,1971,9,36,1971,462081.0268,7898.34004,0,7898.34004,0,0
13/09/1971,1971,9,37,1971,462081.0268,2079.8623,0,2079.8623,0,0
20/09/1971,1971,9,38,1971,462081.0266,987.4038348,0,987.4038348,0,0
27/09/1971,1971,9,39,1971,462081.0274,0,0,0,0,0
04/10/1971,1971,10,40,1971,462081.0274,0,0,0,0,0
11/10/1971,1971,10,41,1971,462081.0267,0,0,0,0,0
18/10/1971,1971,10,42,1971,462081.027,0,0,0,0,0
25/10/1971,1971,10,43,1971,462081.0267,1283.125443,0,0,0,1283.125443
23/06/1972,1972,6,26,1972,462081.0284,364165.2483,0,364008.2269,4168.912861,0
30/06/1972,1972,6,27,1972,462081.0277,330555.8929,0,339243.5252,0,0
07/07/1972,1972,7,28,1972,462081.0267,271455.7761,0,278047.9875,0,0
14/07/1972,1972,7,29,1972,462081.0271,241397.4865,0,248012.9413,5292.954101,0
21/07/1972,1972,7,30,1972,462081.0262,160321.3092,0,165791.253,0,0
28/07/1972,1972,7,31,1972,462081.0266,121851.0054,0,124841.8327,0,0
04/08/1972,1972,8,32,1972,462081.0271,57413.10851,0,57413.10851,0,0
11/08/1972,1972,8,33,1972,462081.0257,43821.23687,0,43821.23687,0,0
18/08/1972,1972,8,34,1972,462081.0269,28105.05278,0,28105.05278,0,0
25/08/1972,1972,8,35,1972,462081.0266,19261.48719,0,19261.48719,0,0
01/09/1972,1972,9,36,1972,462081.027,18818.32977,0,18818.32977,0,0
08/09/1972,1972,9,37,1972,462081.0274,7688.8551,0,7445.775999,0,243.079101
15/09/1972,1972,9,38,1972,462081.0263,13174.66521,0,13174.66521,0,0
22/09/1972,1972,9,39,1972,462081.0268,12310.444,0,12310.444,0,0
29/09/1972,1972,9,40,1972,462081.0257,14265.09085,0,13046.58131,350.2367722,881.8781132
06/10/1972,1972,10,41,1972,462081.0268,15718.38175,15718.38175,0,0,0
13/10/1972,1972,10,42,1972,462081.0279,47357.84801,21594.66172,0,11873.47984,14783.57233
20/10/1972,1972,10,43,1972,462081.0272,59151.26712,19556.86657,891.7656069,18203.52457,21148.81963
27/10/1972,1972,10,44,1972,462081.0257,119036.9026,20947.80682,7687.950164,47894.83105,43447.58673
03/11/1972,1972,11,45,1972,462081.0254,259892.6278,16872.33197,6418.536719,151970.0528,90083.62605
10/11/1972,1972,11,46,1972,462081.0271,421111.38,10831.79612,49709.73614,290113.1954,77744.07622
17/11/1972,1972,11,47,1972,462081.0266,438882.4281,12131.87918,118828.6189,254276.788,63877.59767
24/11/1972,1972,11,48,1972,462081.0283,440296.4923,18139.42607,210024.6157,195650.1418,32078.7578
18/06/1973,1973,6,25,1973,462081.0255,332608.7871,26024.42432,318070.8566,2063.402136,0
25/06/1973,1973,6,26,1973,462081.0273,328913.0126,6036.210262,336814.0319,0,0
02/07/1973,1973,7,27,1973,462081.024,314963.552,17487.63047,306793.2987,0,0
09/07/1973,1973,7,28,1973,462081.0281,206322.7144,6922.331321,200345.9382,0,0
16/07/1973,1973,7,29,1973,462081.0259,139273.6734,5351.415526,134870.8476,0,0
23/07/1973,1973,7,30,1973,462081.0268,116242.1247,2294.827445,115330.0901,0,0
30/07/1973,1973,7,31,1973,462081.0266,68151.3052,294.8844071,67856.42079,0,0
06/08/1973,1973,8,32,1973,462080.9773,51371.68673,3515.140347,47856.54639,0,0
13/08/1973,1973,8,33,1973,462081.0263,27458.9182,1728.546909,26129.26673,0,0
20/08/1973,1973,8,34,1973,462080.9949,21341.47802,0,21341.47802,0,0
27/08/1973,1973,8,35,1973,462081.0267,14016.50085,0,12092.75688,0,1923.743962
03/09/1973,1973,9,36,1973,462081.0269,5713.768042,0,5713.768042,0,0
10/09/1973,1973,9,37,1973,462081.0269,1001.456583,0,1001.456583,0,0
17/09/1973,1973,9,38,1973,462081.0269,591.1678214,0,591.1678214,0,0
24/09/1973,1973,9,39,1973,462081.0269,231.7702152,0,231.7702152,0,0
01/10/1973,1973,10,40,1973,462081.0269,0,0,0,0,0
08/10/1973,1973,10,41,1973,462081.0269,0,0,0,0,0
15/10/1973,1973,10,42,1973,462081.0268,0,0,0,0,0
22/10/1973,1973,10,43,1973,462081.0269,0,0,0,0,0
29/10/1973,1973,10,44,1973,462081.0268,0,0,0,0,0
05/11/1973,1973,11,45,1973,462081.0272,2703.083839,0,0,0,2703.083839
12/11/1973,1973,11,46,1973,462081.0267,2670.421369,0,0,0,2670.421369
20/11/1973,1973,11,47,1973,462081.0258,101495.7549,0,4995.566437,39884.62842,57646.92366
26/11/1973,1973,11,48,1973,462080.6776,154284.2563,0,10698.33809,58850.3952,87676.69993
17/06/1974,1974,6,25,1974,462081.0274,332509.0535,0,346183.89,2045.942895,1481.720403
24/06/1974,1974,6,26,1974,462081.0241,290943.3916,0,304932.5804,0,0
01/07/1974,1974,7,27,1974,462081.0275,254211.6543,0,257861.7737,0,0
08/07/1974,1974,7,28,1974,462081.129,232023.226,529.9648004,231493.2612,0,0
15/07/1974,1974,7,29,1974,462081.0273,193904.4426,5383.618196,189298.6865,0,0
22/07/1974,1974,7,30,1974,462081.0276,92854.02913,0,92854.02913,0,0
29/07/1974,1974,7,31,1974,462081.0271,56542.56766,0,56542.56766,0,0
05/08/1974,1974,8,32,1974,462081.0276,17200.27008,0,16499.58089,0,700.6891975
12/08/1974,1974,8,33,1974,462081.027,446.1535203,0,446.1535203,0,0
19/08/1974,1974,8,34,1974,462081.0264,1369.908557,0,1369.908557,0,0
26/08/1974,1974,8,35,1974,462081.0269,2038.422484,0,2038.422484,0,0
02/09/1974,1974,9,36,1974,462081.027,750.1656895,0,750.1656895,0,0
09/09/1974,1974,9,37,1974,462081.0269,2789.183934,0,2789.183934,0,0
16/09/1974,1974,9,38,1974,462081.0271,1369.751698,0,1369.751698,0,0
23/09/1974,1974,9,39,1974,462081.027,2870.584425,0,2870.584425,0,0
30/09/1974,1974,9,40,1974,462081.0267,0,0,0,0,0
07/10/1974,1974,10,41,1974,462081.0268,0,0,0,0,0
14/10/1974,1974,10,42,1974,462081.0267,8802.812897,0,0,154.2674003,8648.545497
21/10/1974,1974,10,43,1974,462081.0251,38079.44267,0,717.9605912,6488.322794,31065.77051
28/10/1974,1974,10,44,1974,462081.0254,106528.6485,94.06827715,6242.147868,47067.5361,54848.11185
04/11/1974,1974,11,45,1974,462081.0253,146112.3941,0,0,82821.05261,65819.2099
12/11/1974,1974,11,46,1974,462081.0272,321440.976,0,7168.745173,224445.2653,99693.83329
