CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
25/06/1968,1968,6,26,1968,386512.8223,371140.5675,371140.5675,0,0,0
02/07/1968,1968,7,27,1968,386512.8223,363482.9165,360996.9688,2485.94769,0,0
12/07/1968,1968,7,28,1968,386512.8222,312060.6239,213853.8361,98206.78781,0,0
19/07/1968,1968,7,29,1968,386512.8224,289188.2113,232704.1743,56484.03698,0,0
26/07/1968,1968,7,30,1968,386512.8224,280154.3284,228141.5603,52012.76803,0,0
02/08/1968,1968,8,31,1968,386512.8222,273332.9869,222600.4609,50732.52597,0,0
09/08/1968,1968,8,32,1968,386512.822,203762.8515,150384.3384,53378.51309,0,0
16/08/1968,1968,8,33,1968,386512.8223,216692.9317,216692.9317,0,0,0
23/08/1968,1968,8,34,1968,386512.8223,200406.4056,200406.4056,0,0,0
30/08/1968,1968,8,35,1968,386512.8223,243877.3016,243877.3016,0,0,0
06/09/1968,1968,9,36,1968,386512.8223,241060.3138,241060.3138,0,0,0
13/09/1968,1968,9,37,1968,386512.8223,242184.2758,242184.2758,0,0,0
20/09/1968,1968,9,38,1968,386512.8222,263555.0583,263555.0583,0,0,0
27/09/1968,1968,9,39,1968,386512.8222,256378.6353,196342.2814,60036.35388,0,0
04/10/1968,1968,10,40,1968,386512.8222,246053.208,246053.208,0,0,0
11/10/1968,1968,10,41,1968,386512.8223,286944.7975,286944.7975,0,0,0
18/10/1968,1968,10,42,1968,386512.8224,344092.3028,280680.8353,0,34730.83918,32028.72477
18/06/1969,1969,6,25,1969,386512.7574,342712.0654,304130.3732,35607.95247,2973.739692,0
27/06/1969,1969,6,26,1969,386512.8076,309050.9426,284029.6295,25021.3131,0,0
04/07/1969,1969,7,27,1969,386512.8072,314770.0081,169769.2474,145000.7607,0,0
11/07/1969,1969,7,28,1969,386512.8071,322925.1384,194065.7051,128859.4332,0,0
18/07/1969,1969,7,29,1969,386512.8081,283530.257,160116.0219,123434.6836,0,0
25/07/1969,1969,7,30,1969,386512.8076,304802.9322,201102.001,103700.9312,0,0
01/08/1969,1969,8,31,1969,386512.8076,313941.7293,238010.2777,75992.34566,0,0
08/08/1969,1969,8,32,1969,386512.8079,309467.5527,256029.5376,53438.01509,0,0
15/08/1969,1969,8,33,1969,386512.8067,330325.5726,274082.9327,48151.24357,0,9541.282432
22/08/1969,1969,8,34,1969,386512.807,337722.2439,251329.9738,74667.48975,0,13467.22822
29/08/1969,1969,8,35,1969,386512.8076,326986.5676,281029.1173,45957.45038,0,0
05/09/1969,1969,9,36,1969,386512.8076,311517.4012,269573.6606,41719.75818,0,319.9748735
12/09/1969,1969,9,37,1969,386512.8067,327929.4591,291799.7284,36129.73072,0,0
19/09/1969,1969,9,38,1969,386512.8069,312808.3244,288140.1197,7712.860994,7689.621775,9493.847944
26/09/1969,1969,9,39,1969,386512.808,306726.6257,288535.691,209.5090473,2670.585473,17365.93749
03/10/1969,1969,10,40,1969,386512.807,333282.8281,265732.8961,0,59874.4274,11049.99382
10/10/1969,1969,10,41,1969,386512.8074,308859.9967,247071.8302,1843.243222,42642.60541,17855.2908
17/10/1969,1969,10,42,1969,386512.8063,335174.1586,266075.4024,4019.912167,43796.76389,21885.06697
24/06/1970,1970,6,26,1970,386512.8228,330573.3167,218393.9761,112179.3406,0,0
08/07/1970,1970,7,28,1970,386512.822,304834.5579,224586.5488,80248.00914,0,0
15/07/1970,1970,7,29,1970,386512.822,287247.0062,214421.774,74402.97874,0,0
22/07/1970,1970,7,30,1970,386512.8223,272673.7491,215953.9372,58558.27938,0,0
29/07/1970,1970,7,31,1970,386512.8222,282988.7052,231549.1801,55450.25553,0,0
05/08/1970,1970,8,32,1970,386512.822,224251.9286,196472.0244,28089.65408,0,0
12/08/1970,1970,8,33,1970,386512.8222,212483.6862,197328.8241,15154.86211,0,0
19/08/1970,1970,8,34,1970,386512.8223,176039.9916,161525.0013,14681.14232,0,0
26/08/1970,1970,8,35,1970,386512.8223,189535.7329,169946.9561,19588.77682,0,0
02/09/1970,1970,9,36,1970,386512.8227,17086.86215,16698.84464,388.0175056,0,0
09/09/1970,1970,9,37,1970,386512.8222,234127.0566,234012.5708,114.4857964,0,0
16/09/1970,1970,9,38,1970,386512.8223,227024.2447,216642.8958,6228.040621,370.6138879,3868.220624
23/09/1970,1970,9,39,1970,386512.8221,264285.1022,213919.962,7854.71504,9767.478329,34286.97415
30/09/1970,1970,9,40,1970,386512.8226,316282.2352,218570.936,1044.265715,61113.07028,38746.14187
07/10/1970,1970,10,41,1970,386512.8221,372286.104,242000.6304,1582.967527,115514.7988,18222.47025
14/10/1970,1970,10,42,1970,386512.8223,376310.1156,256884.7115,56315.63211,66650.44118,416.8347627
21/10/1970,1970,10,43,1970,386512.8224,376588.7816,274179.4225,47884.41002,54407.03706,3627.929118
25/06/1971,1971,6,26,1971,386512.807,290249.46,283130.6834,10758.98274,0,0
02/07/1971,1971,7,27,1971,386512.8081,287770.6559,285185.0145,5513.910384,0,0
