CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
25/06/1968,1968,6,26,1968,94923.95181,91862.43389,89113.58511,2748.848787,0,0
02/07/1968,1968,7,27,1968,94923.9513,91869.71818,89214.53092,2655.187258,0,0
12/07/1968,1968,7,28,1968,94923.95141,94923.95139,52874.38976,42049.56163,0,0
19/07/1968,1968,7,29,1968,94923.95227,94639.9734,53101.41412,41538.55928,0,0
26/07/1968,1968,7,30,1968,94923.95188,93505.60605,75366.47552,18139.13053,0,0
02/08/1968,1968,8,31,1968,94923.95241,91591.16469,37929.0884,53662.07629,0,0
09/08/1968,1968,8,32,1968,94923.95187,88216.16638,49924.10992,38292.05647,0,0
16/08/1968,1968,8,33,1968,94923.95164,90240.72785,54399.83538,35840.89247,0,0
23/08/1968,1968,8,34,1968,94923.95099,79087.64261,47640.1495,31447.4931,0,0
30/08/1968,1968,8,35,1968,94923.95227,76492.58018,42381.18247,34111.39771,0,0
06/09/1968,1968,9,36,1968,94923.95219,89141.38878,50781.55188,36133.8034,0,2226.033492
13/09/1968,1968,9,37,1968,94923.95176,86255.18491,60047.07364,27152.93391,0,1385.313646
20/09/1968,1968,9,38,1968,94923.95132,59303.65184,36986.40956,18589.62253,705.0488278,4745.80214
27/09/1968,1968,9,39,1968,94923.95207,57730.7802,2521.845987,52031.78711,390.3860571,2893.334042
04/10/1968,1968,10,40,1968,94923.95147,90932.91995,49795.05525,0,26784.65096,14954.81466
11/10/1968,1968,10,41,1968,94923.95131,91028.06616,55688.15533,0,31142.23678,4643.130944
18/10/1968,1968,10,42,1968,94923.9516,92467.27324,47148.58344,1893.670176,36447.99573,7566.540631
18/06/1969,1969,6,25,1969,94923.97009,94849.9343,38295.75094,56554.18336,0,0
27/06/1969,1969,6,26,1969,94923.96965,94849.46907,37873.78697,56975.6821,0,0
04/07/1969,1969,7,27,1969,94923.96888,94923.96889,34955.38029,59968.5886,0,0
11/07/1969,1969,7,28,1969,94923.96788,94024.41579,22570.25995,71454.15584,0,0
18/07/1969,1969,7,29,1969,94923.96801,94792.63474,24763.73639,70028.89835,0,0
25/07/1969,1969,7,30,1969,94923.968,92055.78109,24080.41673,67975.36437,0,0
01/08/1969,1969,8,31,1969,94923.96924,86796.24715,19773.93004,74420.63602,0,0
08/08/1969,1969,8,32,1969,94923.96705,82520.10823,29208.65487,63298.09087,0,0
15/08/1969,1969,8,33,1969,94923.96866,78201.51633,38386.31782,49408.56996,0,0
22/08/1969,1969,8,34,1969,94923.96833,74640.53337,33862.91853,50043.81848,0,0
29/08/1969,1969,8,35,1969,94923.96803,73462.62249,30673.2832,51347.58118,0,0
05/09/1969,1969,9,36,1969,94923.96877,65235.05125,26366.85589,42191.23819,0,4787.77477
12/09/1969,1969,9,37,1969,94923.96721,69210.91061,51972.44905,2430.086887,0,14808.37467
19/09/1969,1969,9,38,1969,94923.96759,80180.35617,50135.72899,1385.705689,1116.849431,27656.11981
26/09/1969,1969,9,39,1969,94923.96808,85225.33612,31615.95529,4877.217024,30037.84815,25275.08733
03/10/1969,1969,10,40,1969,94923.96939,81834.97368,47312.62977,4671.73671,29374.45907,6928.462502
10/10/1969,1969,10,41,1969,94923.96578,85507.58419,35176.54386,0,40946.54539,10988.23473
17/10/1969,1969,10,42,1969,94923.96582,86350.56825,48807.84123,4105.737978,33338.74446,2241.952273
24/06/1970,1970,6,26,1970,94923.95133,94923.95131,55758.43961,39165.51171,0,0
08/07/1970,1970,7,28,1970,94923.9529,94445.0337,50720.42136,43724.61234,0,0
15/07/1970,1970,7,29,1970,94923.95048,94923.95047,51655.66986,43268.2806,0,0
22/07/1970,1970,7,30,1970,94923.94938,94923.94936,51422.02277,43501.92659,0,0
29/07/1970,1970,7,31,1970,94923.95092,89247.15964,40698.59723,50248.28561,0,0
05/08/1970,1970,8,32,1970,94923.95207,88059.54483,47145.45372,42846.00869,0,0
12/08/1970,1970,8,33,1970,94923.95199,89552.45562,39461.25681,52363.2958,0,0
19/08/1970,1970,8,34,1970,94923.94963,75698.73565,34265.57784,43034.43029,0,0
26/08/1970,1970,8,35,1970,94923.95168,60968.1584,28479.76106,32945.00787,0,0
02/09/1970,1970,9,36,1970,94923.95092,64834.67723,28445.83702,35332.45298,12.62509999,1549.707808
09/09/1970,1970,9,37,1970,94923.95254,70120.75025,33031.78919,34037.74904,735.4488905,2951.738801
16/09/1970,1970,9,38,1970,94923.95223,48060.11518,15911.37231,24647.60728,0,7817.058247
23/09/1970,1970,9,39,1970,94923.95213,75235.36964,27430.44424,13300.69504,12520.94631,22743.37268
30/09/1970,1970,9,40,1970,94923.9536,90622.37422,26058.96247,10514.49629,43849.55694,12951.21449
07/10/1970,1970,10,41,1970,94923.95306,88537.6081,46147.03355,0,37131.48692,7190.06986
14/10/1970,1970,10,42,1970,94923.95054,93341.05363,34247.60619,23038.58919,36175.99991,1741.270523
21/10/1970,1970,10,43,1970,94923.95012,94212.38922,31592.34037,47152.19425,10118.88575,6060.529735
25/06/1971,1971,6,26,1971,94923.96675,93254.14422,48649.89894,44604.24528,0,0
02/07/1971,1971,7,27,1971,94923.96729,93007.34525,48634.367,44372.97825,0,0
09/07/1971,1971,7,28,1971,94923.96901,92290.75949,202.0076095,92088.75188,0,0
16/07/1971,1971,7,29,1971,94923.96758,94832.31214,93396.37693,1527.590648,0,0
23/07/1971,1971,7,30,1971,94923.96752,88475.97095,20541.25126,69118.91509,0,0
30/07/1971,1971,7,31,1971,94923.96657,86797.40538,23204.73075,66194.05764,0,0
06/08/1971,1971,8,32,1971,94923.96681,85338.0553,25553.40918,63004.97969,0,0
13/08/1971,1971,8,33,1971,94923.96746,79024.04924,38120.6667,40994.12219,0,0
20/08/1971,1971,8,34,1971,94923.96676,59566.01191,29622.53394,31563.67841,0,188.9063946
27/08/1971,1971,8,35,1971,94923.96716,54014.22855,18010.34747,36435.72799,0,0
03/09/1971,1971,9,36,1971,94923.96774,32487.76155,16965.69066,14881.39811,0,1454.994474
10/09/1971,1971,9,37,1971,94923.96764,43997.64585,28478.27465,9679.143977,72.83978714,6226.443221
17/09/1971,1971,9,38,1971,94923.96758,39811.83457,19829.7717,13654.03696,2511.399097,5482.51015
01/10/1971,1971,10,40,1971,94923.96759,79726.51956,23576.59633,0,27742.41812,30467.14865
08/10/1971,1971,10,41,1971,94923.96692,90148.85152,28774.09466,2140.676639,44978.75065,16932.40382
15/10/1971,1971,10,42,1971,94923.96791,94916.36094,34947.64348,27198.78407,30186.51589,3727.684056
22/10/1971,1971,10,43,1971,94923.96742,89262.67394,33606.79694,19953.28768,38116.38415,347.9803006
29/10/1971,1971,10,44,1971,94923.96774,94043.2164,45681.99016,15961.00974,28694.74012,6281.474683
19/06/1972,1972,6,25,1972,94923.95074,94923.95073,67512.16715,19129.96679,0,8281.816791
26/06/1972,1972,6,26,1972,94923.95109,93951.52959,46559.97272,47391.55687,0,0
03/07/1972,1972,7,27,1972,94923.95068,93860.18979,46714.73103,47145.45876,0,0
10/07/1972,1972,7,28,1972,94923.95196,94923.95194,46872.53183,48051.42012,0,0
17/07/1972,1972,7,29,1972,94923.95147,94923.95145,37258.75851,57665.19295,0,0
24/07/1972,1972,7,30,1972,94923.95165,94850.98599,22690.80249,72203.62765,0,0
31/07/1972,1972,7,31,1972,94923.95174,94709.15452,22447.02064,62924.13362,9394.420413,0
07/08/1972,1972,8,32,1972,94923.95145,93653.90081,27139.46891,66785.70622,0,0
14/08/1972,1972,8,33,1972,94923.95184,91162.86026,25900.76661,66446.36739,0,0
21/08/1972,1972,8,34,1972,94923.95139,87205.24037,25766.63292,63279.22295,0,0
28/08/1972,1972,8,35,1972,94923.95337,83734.20585,18137.50239,66249.72172,0,34.54893279
