CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
25/06/1968,1968,6,26,1968,33234.19058,32237.16488,32237.16488,0,0,0
02/07/1968,1968,7,27,1968,33234.19058,32237.16488,32237.16488,0,0,0
12/07/1968,1968,7,28,1968,33234.19044,33234.19046,13142.67502,20091.51545,0,0
19/07/1968,1968,7,29,1968,33234.19075,33234.19077,6827.533284,26406.65748,0,0
26/07/1968,1968,7,30,1968,33234.19049,33070.65206,21529.1095,11541.54256,0,0
02/08/1968,1968,8,31,1968,33234.19075,30146.7329,23537.59224,6609.140661,0,0
09/08/1968,1968,8,32,1968,33234.19056,29794.8541,12870.26889,16924.58522,0,0
16/08/1968,1968,8,33,1968,33234.1907,27900.39607,12313.805,15586.59107,0,0
23/08/1968,1968,8,34,1968,33234.19145,22862.84067,3976.850131,18885.99054,0,0
30/08/1968,1968,8,35,1968,33234.19055,22162.87605,5981.404672,16181.47137,0,0
06/09/1968,1968,9,36,1968,33234.19011,19727.74272,5216.500548,12641.08526,0,1870.156911
13/09/1968,1968,9,37,1968,33234.1905,15589.44,7881.424434,8027.576129,0,0
20/09/1968,1968,9,38,1968,33234.19076,17712.96373,8643.011028,9339.992716,0,0
27/09/1968,1968,9,39,1968,33234.19093,8896.13791,4385.987129,1522.255706,888.0495591,2279.621345
04/10/1968,1968,10,40,1968,33234.19038,2949.533868,2432.605252,0,608.151313,0
11/10/1968,1968,10,41,1968,33234.19047,248.1294227,204.6428228,0,51.16070571,0
18/10/1968,1968,10,42,1968,33234.19042,2732.788016,2711.064688,0,0,21.72332823
18/06/1969,1969,6,25,1969,33234.18043,33234.18044,9903.61788,23330.56256,0,0
27/06/1969,1969,6,26,1969,33234.18044,33234.18045,9970.254135,23263.92632,0,0
04/07/1969,1969,7,27,1969,33234.18059,33234.1806,6870.831817,26363.34879,0,0
11/07/1969,1969,7,28,1969,33234.18099,33234.181,6430.11059,26804.07041,0,0
18/07/1969,1969,7,29,1969,33234.18058,33004.19365,3083.208849,29920.9848,0,0
25/07/1969,1969,7,30,1969,33234.18049,32950.8372,0,32950.8372,0,0
01/08/1969,1969,8,31,1969,33234.18017,32756.65393,0,32756.65393,0,0
08/08/1969,1969,8,32,1969,33234.1801,30274.17728,2188.678641,29770.30111,0,0
15/08/1969,1969,8,33,1969,33234.18082,24419.12731,1781.451524,22655.04387,0,0
22/08/1969,1969,8,34,1969,33234.18031,16419.57508,20.79454351,16400.02821,0,0
29/08/1969,1969,8,35,1969,33234.18039,6610.369932,2154.318204,4527.078875,0,0
05/09/1969,1969,9,36,1969,33234.18027,5620.058953,2376.480726,3204.433651,0,55.92082289
12/09/1969,1969,9,37,1969,33234.18034,1939.302432,1260.47679,678.8256417,0,0
19/09/1969,1969,9,38,1969,33234.18043,3948.087886,1929.231819,650.5177616,61.16720246,1325.521263
26/09/1969,1969,9,39,1969,33234.18024,12042.66598,7013.793701,0,2058.114948,3067.306032
03/10/1969,1969,10,40,1969,33234.18044,6996.7114,4033.73568,0,1201.042212,1761.933507
10/10/1969,1969,10,41,1969,33234.18067,2732.30289,1642.691899,0,669.6270705,419.9839204
17/10/1969,1969,10,42,1969,33234.18071,20521.50677,5327.8548,0,12530.6949,3170.133791
24/06/1970,1970,6,26,1970,33234.19059,33234.19061,5391.770584,27842.42003,0,0
08/07/1970,1970,7,28,1970,33234.19048,32237.16479,7600.994841,25340.02581,0,0
15/07/1970,1970,7,29,1970,33234.19006,33213.97517,8822.020886,24391.95429,0,0
22/07/1970,1970,7,30,1970,33234.19015,33098.93782,8510.758505,24588.17931,0,0
29/07/1970,1970,7,31,1970,33234.19003,29293.12658,6037.868528,23255.25805,0,0
05/08/1970,1970,8,32,1970,33234.19062,24994.41506,4457.065285,21170.95153,0,0
12/08/1970,1970,8,33,1970,33234.19083,19581.95596,2475.791062,17106.1649,0,0
19/08/1970,1970,8,34,1970,33234.19058,15297.06198,1993.454134,13562.63174,0,0
26/08/1970,1970,8,35,1970,33234.19074,11350.96231,280.8599643,11070.10235,0,0
02/09/1970,1970,9,36,1970,33234.19065,7498.694077,903.5247844,6595.169293,0,0
09/09/1970,1970,9,37,1970,33234.19048,5179.864403,1547.544067,3777.285069,0,0
16/09/1970,1970,9,38,1970,33234.19026,747.0922663,605.9765307,195.1448028,0,0
23/09/1970,1970,9,39,1970,33234.19051,4666.960772,2220.538668,1597.228419,142.4196779,826.5661385
30/09/1970,1970,9,40,1970,33234.19057,14739.54467,374.4235129,0,6695.348243,7782.099965
07/10/1970,1970,10,41,1970,33234.19112,26558.38058,660.529388,0,16944.61129,8992.871664
14/10/1970,1970,10,42,1970,33234.19115,31100.02535,1194.551306,10087.70376,18414.41712,2265.326302
21/10/1970,1970,10,43,1970,33234.19071,33144.75764,3083.390339,13972.67417,13211.11553,2877.577604
25/06/1971,1971,6,26,1971,33234.18044,33234.18045,0,33234.18045,0,0
02/07/1971,1971,7,27,1971,33234.18044,33234.18045,0,33234.18045,0,0
09/07/1971,1971,7,28,1971,33234.18042,32237.15503,1.856551335,32235.29848,0,0
16/07/1971,1971,7,29,1971,33234.1807,32581.8314,11489.20372,21092.62769,0,0
23/07/1971,1971,7,30,1971,33234.18142,30231.3178,5890.269144,24579.05985,0,0
30/07/1971,1971,7,31,1971,33234.1806,26876.04204,2057.635359,24818.40668,0,0
06/08/1971,1971,8,32,1971,33234.18003,20185.99181,6642.356904,14094.23014,0,0
13/08/1971,1971,8,33,1971,33234.18088,17673.97009,3317.646047,14655.4472,0,0
20/08/1971,1971,8,34,1971,33234.18056,13098.89229,3233.074515,9894.201109,0,0
27/08/1971,1971,8,35,1971,33234.18085,7765.550796,0,7765.550796,0,0
03/09/1971,1971,9,36,1971,33234.18051,1757.126106,1757.126106,0,0,0
10/09/1971,1971,9,37,1971,33234.18105,5618.994694,1872.998231,3745.996463,0,0
17/09/1971,1971,9,38,1971,33234.18025,1998.737528,1998.737528,0,0,0
01/10/1971,1971,10,40,1971,33234.18056,9335.404951,3459.087239,0,2223.446277,3819.629906
08/10/1971,1971,10,41,1971,33234.18024,23135.7451,17489.11161,0,484.7547584,5704.514778
15/10/1971,1971,10,42,1971,33234.18052,31828.24814,19108.95345,0,7946.202068,5000.08367
22/10/1971,1971,10,43,1971,33234.18061,32237.15521,8725.010029,0,16822.91854,7999.418369
29/10/1971,1971,10,44,1971,33234.18024,32531.33313,7172.215059,2181.948252,19406.47641,4428.200714
19/06/1972,1972,6,25,1972,33234.19048,33234.1905,6550.410694,26683.77981,0,0
26/06/1972,1972,6,26,1972,33234.19065,32821.81174,5846.467924,26975.34382,0,0
03/07/1972,1972,7,27,1972,33234.19061,32946.77668,4730.745154,28216.03153,0,0
10/07/1972,1972,7,28,1972,33234.1907,32878.87049,4278.036627,28600.83386,0,0
